power,war_name,start_year,end_year,duration,outcome,primary_enemy,enemy_modern_equiv,enemy_type,posture,home_away,self_capital,enemy_capital,distance_km,self_gdp_cap,self_pop_thousands,opp_gdp_cap,opp_pop_thousands,self_urban_pct,opp_urban_pct,self_builtup_ha,self_grazing_ha,self_cropland_ha,opp_builtup_ha,opp_grazing_ha,opp_cropland_ha,self_urban_pop,self_rural_pop,opp_urban_pop,opp_rural_pop,gdp_cap_ratio,pop_ratio,urban_pct_ratio,builtup_ratio,grazing_ratio,cropland_ratio,urban_pop_ratio,self_total_gdp,opp_total_gdp,total_gdp_ratio,log_gdp_cap_ratio,log_total_gdp_ratio,log_pop_ratio,log_urban_pct_ratio,log_builtup_ratio,log_grazing_ratio,log_cropland_ratio,log_urban_pop_ratio,log_distance,win,is_offensive,is_home,is_colonial,century
France,War of Saint-Sardos,1324,1324,1,Won,Kingdom of England,United Kingdom,European,Offensive,Away,Paris,London,343,1168.0279996855195,12008.0,1122.0,3258.416,5.643922632000001,2.2719999520000003,61834.03772,28301194.48,16604177.92,7659.629400000001,4069734.66,8812299.16,820738.7799999999,13815791.76,123227.88320000001,5383003.408,1.0410231726252401,3.6852261957957486,2.4841209292419917,8.072719251926209,6.954063801299517,1.8842049751747192,6.660333348970486,14025680.220223717,3655942.7520000003,3.8364058661889344,0.04020404935169161,1.3445359559573773,1.3043319066056858,0.9099188461559633,2.088490383631561,1.9393262083062388,0.6335059680995521,1.896169535697689,5.8377304471659395,1.0,1,0,0,14
France,Hundred Years' War,1337,1453,116,Won,Kingdom of England,United Kingdom,European,Defensive,Home,Paris,London,343,1446.2878425106817,12229.0,1283.0,3308.908,5.721917016,2.310999926,59849.61086,27519979.24,15823580.96,7026.412075,3881507.205,8369131.955,794402.86,13208275.629999999,114567.30660000001,4946523.754,1.1272703371088713,3.695781206367781,2.475948593344957,8.517805420627854,7.090024000097147,1.8907075482955509,6.9339402625006805,17686654.026063126,4245328.964,4.166144526382839,0.11979907950372631,1.4269910341196133,1.3071919546158872,0.9066235926298205,2.142158727923351,1.958688725601374,0.6369511231923064,1.9364282320686228,5.8377304471659395,1.0,0,1,0,14
France,Crusade of Nicopolis,1396,1396,1,Lost,Ottoman Empire,Turkey,Colonial / Eastern,Offensive,Away,Paris,Edirne,2044,1456.84733399797,13232.0,760.8823529411765,6445.6,6.075891528,2.220390172,50843.36588,23974463.92,12280871.68,4329.510319999999,6041890.4399999995,7287231.4399999995,674878.2999999999,10451087.04,129979.0456,5726020.9,1.9146814594484338,2.052873277894998,2.736407143491896,11.743444898405972,3.9680401619463996,1.6852589054039981,5.192208458560954,19277003.92346114,4904343.294117647,3.930598403782685,0.6495512690830132,1.3687916798834996,0.7192404108004863,1.0066457984450405,2.4632952039299436,1.3782723108296708,0.5219192050596555,1.6471591285497598,7.622663951323595,0.0,1,0,1,14
France,Burgundian Wars,1474,1477,3,Won,Burgundian State,Belgium,European,Offensive,Away,Paris,Brussels,263,1630.7372519142432,14558.0,2314.0293529019345,1348.0,6.543904008,28.71599974,68420.29394,23421265.36,14855047.86,13198.229220000001,1902348.2780000002,225746.21300000002,910485.5484,12933558.04,328296.0,804704.0,0.7047176172891665,10.799703264094955,0.22788355158273169,5.18405104196243,12.31176521715757,65.80419517380784,2.773367779077418,23740272.91336755,3119311.567711808,7.610741151703031,-0.3499580992608295,2.0295605589451213,2.3795186582059507,-1.4789205191713477,1.645586805059069,2.510555326923108,4.186683592739764,1.020062386428291,5.572154032177765,1.0,1,0,0,15
France,War of the Castilian Succession,1475,1479,4,Lost,Spain,Spain,European,Offensive,Away,Paris,Valladolid,973,1571.1836633726907,14575.0,1135.2634804266747,6660.0,6.5499042,16.17499925,68666.07125000001,23417038.0,14893079.75,14107.89425,3451054.375,7139738.25,913778.9349999999,12969631.0,993125.0,5256875.0,1.3839815077837092,2.1884384384384385,0.40494000022905724,4.86720909819692,6.78547349750176,2.085941981136353,0.9201046544996853,22900001.893656965,7560854.779641653,3.028758329721856,0.32496449567825736,1.1081527433625156,0.7831882476842583,-0.9040163704331097,1.5825206923687538,1.9147840767770017,0.7352205427384492,-0.0832678605176858,6.880384082186005,0.0,1,0,0,15
France,War of the Burgundian Succession,1477,1482,5,Won,Habsburg Burgundy,Belgium,European,Offensive,Away,Paris,Brussels,263,1505.4514225961082,14609.0,2316.795196797865,1354.0,6.561904584,28.81799977,69157.62587,23408583.28,14969143.53,13381.97031,1909040.0690000001,228245.1215,920365.7082,13041776.92,333108.0,813392.0,0.6497990951797779,10.789512555391433,0.22770159748668772,5.16797035622776,12.26196540351401,65.5836297031216,2.7629648888648726,21993139.832706545,3136940.6964643095,7.011015495924206,-0.43109204820766667,1.947482554452627,2.3785746026602936,-1.4797192901852407,1.6424800304398093,2.5065022278974367,4.183326117599446,1.0163043382473893,5.572154032177765,1.0,1,0,0,15
France,First Italian War,1494,1498,4,Lost,Spain,Spain,European,Offensive,Away,Paris,Valladolid,973,1547.546619370709,14898.0,1210.8524453028165,6766.4,6.663907848,14.36999906,73335.84014,23336718.16,15615685.66,13115.18738,3537312.19,7477714.62,976353.2804,13655017.24,920070.0,5519930.0,1.2780637520071163,2.2017616457791442,0.4637375284560388,5.591673074517675,6.59730238851211,2.088296552296081,1.0611728242416338,23055349.535384823,8193111.985896977,2.813991750029856,0.24534623891078927,1.0346040269287868,0.7892577880179976,-0.7684365582392775,1.7212785401533919,1.8866608364665922,0.7363486868972429,0.05937473443642535,6.880384082186005,0.0,1,0,0,15
France,Second Italian War,1499,1504,5,Lost,Spain,Spain,European,Offensive,Away,Paris,Valladolid,973,1566.7580402842789,14983.0,1230.4267950626497,6794.4,6.693908808,13.89499901,74564.72669,23315581.36,15805845.11,12853.94873,3560011.615,7566655.77,992820.2134,13835382.04,900845.0,5589155.0,1.2733451893044188,2.205198398681267,0.4817494987356606,5.800919877327066,6.549299238732961,2.0888812165430384,1.1020988221059116,23474735.71757935,8360011.816373667,2.807978772422599,0.2416474448790839,1.0324649264564285,0.7908174815773447,-0.7303310121953939,1.7580165045159457,1.8793580574707187,0.7366286195614147,0.09721638194236415,6.880384082186005,0.0,1,0,0,15
France,War of the League of Cambrai,1508,1516,8,Won,Venice,Italy,European,Offensive,Away,Paris,Venice,844,1448.6397754944785,15280.0,2519.837783794065,10708.0,6.71191012,20.78256172,75824.692,23317027.12,16073309.56,157641.51880000002,2425604.6,9065677.2,1016787.536,14126545.64,1934178.56,7411846.04,0.5748940605665865,1.4269704893537543,0.3229587483212344,0.480994426958033,9.61287223812158,1.7729849856114446,0.5256947610876216,22135215.769555632,26982422.98886685,0.8203568589332688,-0.5535694976524127,-0.1980158395721443,0.3555536580802684,-1.1302306780913751,-0.731899595309334,2.263103058463952,0.572664558703955,-0.6430345367996546,6.738152494595957,1.0,1,0,0,16
France,Italian War of 1521,1521,1526,5,Lost,Spain,Spain,European,Offensive,Away,Paris,Valladolid,973,1340.4131162647586,15735.0,1357.658672776888,7102.4,6.73141194,14.48249921,77472.7475,23326245.94,16446137.47,14557.87409,3759820.21,7487786.355,1050382.682,14541067.93,1012972.5,5907027.5,0.9872975757029887,2.215448299166479,0.46479629257304134,5.321707484282824,6.204085471416731,2.1963951280498306,1.0369310933909854,21091400.384425975,9642634.957530567,2.1873067348623745,-0.012783789849375777,0.7826709855693608,0.7954547754187364,-0.7661560498681548,1.671794207550553,1.8252080220434952,0.7868174382676121,0.0362654790077854,6.880384082186005,0.0,1,0,0,16
France,War of the League of Cognac,1526,1530,4,Lost,Spain,Spain,European,Offensive,Away,Paris,Valladolid,973,1525.9702844190813,15910.0,1293.863467272456,7174.4,6.73891264,14.64499926,78106.615,23329791.64,16589532.82,14976.01054,3806312.76,7464772.63,1063303.892,14700499.58,1040585.0,5979415.0,1.1793905021802036,2.2176070472792153,0.4601511082630126,5.215448719896535,6.12923664213027,2.222376171690577,1.0218328075073155,24278187.225107584,9282694.059599508,2.615424689128992,0.16499778145721902,0.9614264893512656,0.7964287078940466,-0.7762003472181275,1.6516251288348633,1.8130702139932315,0.7985769710789726,0.02159788496157783,6.880384082186005,0.0,1,0,0,16
France,Italian War of 1536,1536,1538,2,Indecisive,Spain,Spain,European,Offensive,Away,Paris,Valladolid,973,1557.1813971581466,16260.0,1383.0860408218855,7318.4,6.75391404,14.96999936,79374.35,23336883.04,16876323.52,15812.28344,3899297.86,7418745.18,1089146.312,15019362.88,1095810.0,6124190.0,1.1258745668727932,2.221797114123306,0.4511632818132599,5.0197904876412975,5.9848936598036655,2.274821834492501,0.9939189385021125,25319769.517791465,10121976.881150886,2.5014648635427985,0.11856012641894749,0.9168765056922871,0.7983163792733398,-0.7959259610697088,1.6133881973030644,1.789238571066568,0.8219017348273817,-0.006099626453714198,6.880384082186005,,1,0,0,16
France,Italian War of 1542,1542,1546,4,Indecisive,Spain,Spain,European,Offensive,Away,Paris,London,343,1616.8888104961973,16470.0,1253.4314552088756,7404.8,6.76291488,15.164999420000001,80134.99100000001,23341137.88,17048397.94,16314.04718,3955088.92,7391128.71,1104651.764,15210680.86,1128945.0,6211055.0,1.2899698693350201,2.224232929991357,0.4459554987572825,4.9120239825124745,5.901545667398041,2.3066027678470777,0.9784814707536682,26630158.70887237,9281409.239530683,2.8691934620715993,0.25461886099616376,1.0540309666085468,0.7994121056123833,-0.8075361105114012,1.5916860732662437,1.7752142941266458,0.8357757787773668,-0.021753428703770488,5.8377304471659395,,1,0,0,16
France,Rough Wooing,1547,1551,4,Won,Kingdom of England,United Kingdom,European,Defensive,Away,Paris,London,343,1614.9984204367577,16645.0,1841.0,4989.16,6.77041558,2.1,80768.8585,23344683.58,17191793.29,3957.7435,3701733.294,7020072.27,1117572.974,15370112.51,96224.33679999999,4485886.961,0.8772397721003572,3.3362329530421957,3.2240074190476187,20.407805230429915,6.306419648827352,2.448948191526239,11.6142444953697,26881648.708169833,9185043.56,2.9266762354004374,-0.13097492363453447,1.0738673884725813,1.204842312107116,1.1706251258351643,3.0159174370086834,1.8415681064550402,0.895658622795767,2.4522323185079955,5.8377304471659395,1.0,0,0,0,16
France,Italian War of 1551,1551,1559,8,Lost,Spain,Spain,European,Offensive,Away,Paris,Valladolid,973,1335.9976789942393,16785.0,1446.243201022775,7534.4,6.77641614,15.45749951,81275.9525,23347520.14,17306509.57,17066.69279,4038775.51,7349704.005,1127909.942,15497657.83,1178647.5,6341352.5,0.9237711043684971,2.2277819069866216,0.4383901895397828,4.7622555523834444,5.780841267902014,2.354721980398992,0.9569527292935335,22424721.041918308,10896574.773785997,2.0579605525091877,-0.07929096057366733,0.7217154693511779,0.8010064299248453,-0.8246459214733026,1.5607214115519852,1.7545492201731252,0.856422665467062,-0.044001283426743525,6.880384082186005,0.0,1,0,0,16
France,French-Iroquois Wars,1609,1701,92,Indecisive,Iroquois Confederacy,,Colonial / Eastern,Offensive,Away,Paris,Onondaga,5831,1582.3751612037092,18767.39,,,6.863423963000001,,87487.854,23732056.42,18921862.54,,,,1280179.8800000001,17365441.08,,,,,,,,,,29697051.77662288,,,,,,,,,,,8.670943791222156,,1,0,1,17
France,Anglo-French War of 1627,1627,1629,2,Won,Kingdom of England,United Kingdom,European,Defensive,Home,Paris,London,343,1494.454925130492,19302.17,1733.0,6816.65,6.890425889,2.1,87487.854,24431633.26,19342019.62,3957.7435,3494468.1810000003,8136257.7,1331464.04,17976147.24,115094.9059,5365615.12,0.8623513705311553,2.8316211042080788,3.281155185238095,22.105488645234338,6.991516875969516,2.377262413898223,11.568401134597913,28846223.022206027,11813254.45,2.4418523400387797,-0.14809246894796138,0.8927569070457348,1.0408493759936963,1.188195551012864,3.0958259326766915,1.9446975392796664,0.8659495793811796,2.4482773410425462,5.8377304471659395,1.0,0,1,0,17
France,War of the Mantuan Succession,1628,1631,3,Won,Spain,Spain,European,Offensive,Away,Paris,Madrid,1052,1415.2937301071856,19331.88,1108.8260551651538,8388.4,6.891925996,17.96,87487.854,24470498.64,19365361.68,22080.84172,4368722.624,7373145.08,1334313.1600000001,18010075.36,1498180.0,6861820.0,1.2763893159927462,2.3045968241857806,0.3837375276169265,3.9621611852213396,5.6012937295604335,2.626472349300361,0.8906227289110789,27360288.555184502,9301276.481147375,2.9415627640615436,0.24403524496443893,1.078940992528541,0.834905747564102,-0.9577964819328797,1.3767896302406943,1.7229975941951599,0.9656416337723638,-0.11583436552295108,6.9584483932976555,1.0,1,0,0,17
